date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:44	111/111	---M--	200	added ('OK')	text/plain	date:Mon,%2025%20May%202026%2021:46:43%20GMT	https://romartel.webnode.page/robots.txt		(from )
15:46:44	101789/101789	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20May%202026%2021:46:43%20GMT	https://romartel.webnode.page/	/home/netss/websites/ro/romartel.webnode.page/index.html	(from )
15:46:44	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20May%202026%2021:46:44%20GMT	https://fonts.gstatic.com/	/home/netss/websites/ro/fonts.gstatic.com/index.html	(from https://romartel.webnode.page/)
15:46:45	2274/2274	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2205c7cc0643b3f60b78138dd8cd98ccba%22	https://duyn491kcolsw.cloudfront.net/files/03/03l/03lww0.svg?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/03/03l/03lww0e805.svg	(from https://romartel.webnode.page/)
15:46:45	244922/244922	---MC-	200	added ('OK')	application/xml	date:Mon,%2025%20May%202026%2018:07:25%20GMT	https://duyn491kcolsw.cloudfront.net/	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/index.html	(from https://romartel.webnode.page/)
15:46:46	1773/1773	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226265d3bb39d079e70d31b880ae85c19d%22	https://duyn491kcolsw.cloudfront.net/files/1p/1pf/1pfgaj.svg?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/1p/1pf/1pfgaje805.svg	(from https://romartel.webnode.page/)
15:46:46	16958/16958	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22a0c54ad42083299d9856711af86ec5e5%22	https://duyn491kcolsw.cloudfront.net/files/2s/2sd/2sd9d9.ico?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/2s/2sd/2sd9d9e805.ico	(from https://romartel.webnode.page/)
15:46:48	8520/8520	---MCZ	200	added ('OK')	text/css	etag:W/%222c2a57ed786e49026f7f72229c6b721f%22	https://duyn491kcolsw.cloudfront.net/files/0r/0rk/0rklmm.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/0r/0rk/0rklmme805.css	(from https://romartel.webnode.page/)
15:46:49	459105/459105	---MCZ	200	added ('OK')	text/css	etag:W/%22d35af2d111f25d174c5d9bd5c7c13ffd%22	https://duyn491kcolsw.cloudfront.net/files/3n/3ny/3ny4od.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/3n/3ny/3ny4ode805.css	(from https://romartel.webnode.page/)
15:46:50	359146/359146	---MCZ	200	added ('OK')	text/css	etag:W/%22a491a70458588fb6d2a0a9ec30cca8d8%22	https://duyn491kcolsw.cloudfront.net/files/2u/2uq/2uqmi8.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/2u/2uq/2uqmi8e805.css	(from https://romartel.webnode.page/)
15:46:51	277433/277433	---MCZ	200	added ('OK')	text/css	etag:W/%22201e3ec2c0753f8acc9e8b16031ebe22%22	https://duyn491kcolsw.cloudfront.net/files/0k/0k1/0k1ucs.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/0k/0k1/0k1ucse805.css	(from https://romartel.webnode.page/)
15:46:52	361088/361088	---MCZ	200	added ('OK')	text/css	etag:W/%222782a8ff1b2403005636683c95fc4c19%22	https://duyn491kcolsw.cloudfront.net/files/0o/0on/0onzbj.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/0o/0on/0onzbje805.css	(from https://romartel.webnode.page/)
15:46:53	263202/263202	---MCZ	200	added ('OK')	text/css	etag:W/%22b496497e86de53d760e9060bb9421930%22	https://duyn491kcolsw.cloudfront.net/files/34/34q/34qmjb.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/34/34q/34qmjbe805.css	(from https://romartel.webnode.page/)
15:46:53	238/238	---M--	200	added ('OK')	text/css	etag:%22c5053c3125f420f7195bbe5c1c1c2340%22	https://duyn491kcolsw.cloudfront.net/files/3e/3ez/3ezykj.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/3e/3ez/3ezykje805.css	(from https://romartel.webnode.page/)
15:46:55	77555/77555	---MCZ	200	added ('OK')	text/css	etag:W/%22c363cc33803d5bf2448ed8dd50c08906%22	https://duyn491kcolsw.cloudfront.net/files/3d/3dz/3dzb9f.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/3d/3dz/3dzb9fe805.css	(from https://romartel.webnode.page/)
15:46:56	15530/15530	---MCZ	200	added ('OK')	text/css	etag:W/%2201bd732be208c37978b45aedb892e039%22	https://duyn491kcolsw.cloudfront.net/files/01/013/0133ua.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/01/013/0133uae805.css	(from https://romartel.webnode.page/)
15:46:56	30106/30106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7e017d8e028439540be1f8e7d0311d3-1%22	https://duyn491kcolsw.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	(from https://romartel.webnode.page/)
15:46:59	301/301	---MC-	404	error ('Not%20Found')	application/xml	date:Mon,%2025%20May%202026%2021:46:58%20GMT	https://duyn491kcolsw.cloudfront.net/robots.txt		(from https://romartel.webnode.page/)
15:46:59	107264/107264	---MCZ	200	added ('OK')	text/css	etag:W/%2296f435c63194da1bf21094dd823ff7fd%22	https://duyn491kcolsw.cloudfront.net/files/2m/2m8/2m8msc.css?ph=d456631b80	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/2m/2m8/2m8msce805.css	(from https://romartel.webnode.page/)
15:46:59	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20May%202026%2021:46:59%20GMT	https://fonts.gstatic.com/robots.txt		(from https://romartel.webnode.page/)
15:47:00	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2025%20May%202026%2021:47:00%20GMT	https://fonts.gstatic.com/robots.txt		(from https://romartel.webnode.page/)
15:47:02	31746/31746	---M--	200	added ('OK')	image/png	etag:%22d634601234cf6398df3a16238b257112%22	https://duyn491kcolsw.cloudfront.net/files/3p/3pq/3pq60x.png	/home/netss/websites/ro/duyn491kcolsw.cloudfront.net/files/3p/3pq/3pq60x.png	(from https://duyn491kcolsw.cloudfront.net/files/2u/2uq/2uqmi8.css?ph=d456631b80)
